osm_id,mapillary_coverage
660768163,regular
660793985,regular
660793986,regular
660793987,regular
660793988,regular
634917034,regular
632548668,regular
632548667,regular
632548666,regular
606149025,regular
607743559,regular
607743561,regular
607743567,regular
609901118,regular
609936367,regular
609946009,regular
609946010,regular
609946011,regular
610629368,regular
610629369,regular
611870033,regular
605567947,regular
611870034,regular
611870036,regular
611882797,regular
611882798,regular
612008004,regular
612033246,regular
612033249,regular
612033251,regular
614516422,regular
614516423,regular
614518314,regular
614518315,regular
614542340,regular
611870035,regular
605567946,regular
605320941,regular
605320927,regular
591417931,regular
591436093,regular
591436094,regular
591436095,regular
591436096,regular
591443732,regular
591656935,regular
591656947,regular
591880081,regular
592210479,regular
592210501,regular
592210510,regular
592210514,regular
592210517,regular
592210555,regular
592379049,regular
592467653,regular
594672530,regular
599260493,regular
603499008,regular
603525928,regular
603525929,regular
603965145,regular
605320911,regular
605320913,regular
605320914,regular
605320915,regular
614951759,regular
667781247,regular
616371977,regular
617481587,regular
625617263,regular
625617267,regular
625617271,regular
625617995,regular
626277271,regular
626966266,regular
626966271,regular
627496047,regular
627511823,regular
627511829,regular
627514990,regular
627514991,regular
625617262,regular
627514992,regular
627522137,regular
627522138,regular
627522139,regular
627526439,regular
627609711,regular
627609718,regular
630755806,regular
631761997,regular
632548655,regular
632548658,regular
632548661,regular
632548665,regular
627522132,regular
625221543,regular
624336903,regular
624336896,regular
617943762,regular
617943763,regular
618084473,regular
618204735,regular
618204736,regular
618204737,regular
618204738,regular
618206016,regular
618255082,regular
620496799,regular
620687554,regular
620691559,regular
620691560,regular
620979886,regular
620979887,regular
621619015,regular
621619016,regular
621623447,regular
621674167,regular
621798799,regular
621950958,regular
623068348,regular
623068350,regular
623068352,regular
623070272,regular
623070273,regular
624333489,regular
616381658,regular
409025808,regular
409021825,regular
408713599,regular
291376548,regular
291376549,regular
291376550,regular
291376551,regular
291378037,regular
291378038,regular
291378039,regular
291378040,regular
291378041,regular
291378042,regular
291378043,regular
291378044,regular
291376547,regular
291381603,regular
291381608,regular
291381614,regular
291381617,regular
291382203,regular
291382204,regular
291389549,regular
291389550,regular
291389551,regular
291752181,regular
291752185,regular
291752186,regular
291870376,regular
291381605,regular
292268003,regular
291376546,regular
291376544,regular
288897261,regular
289170471,regular
289181224,regular
289345321,regular
289346512,regular
289346640,regular
289347609,regular
289347611,regular
289347739,regular
289347740,regular
289347875,regular
289382757,regular
291376545,regular
289383826,regular
289384289,regular
289384503,regular
289385441,regular
289766084,regular
289982396,regular
290574189,regular
